Lateral Profiles,,,,,,,,,,,,,,,,,,,,
Wedge 45,,,,,,,,,,,,,,,,,,,,
SSD=100cm,,,,,,,,,,,,,,,,,,,,
Scanning direction: Crossline,,,,,,,,,,,,,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,,,,,,,,,,,,,
,Dose[%],,,,Dose[%],,,,Dose[%],,,,Dose[%],,,,Dose[%],,,
Off axis position [cm],Depth:1.5 cm FieldSize:4x4 cm2,Depth:1.5 cm FieldSize:10x10 cm2,Depth:1.5 cm FieldSize:20x20 cm2,Depth:1.5 cm FieldSize:40x20 cm2,Depth:5 cm FieldSize:4x4 cm2,Depth:5 cm FieldSize:10x10 cm2,Depth:5 cm FieldSize:20x20 cm2,Depth:5 cm FieldSize:40x20 cm2,Depth:10 cm FieldSize:4x4 cm2,Depth:10 cm FieldSize:10x10 cm2,Depth:10 cm FieldSize:20x20 cm2,Depth:10 cm FieldSize:40x20 cm2,Depth:20 cm FieldSize:4x4 cm2,Depth:20 cm FieldSize:10x10 cm2,Depth:20 cm FieldSize:20x20 cm2,Depth:20 cm FieldSize:40x20 cm2,Depth:30 cm FieldSize:4x4 cm2,Depth:30 cm FieldSize:10x10 cm2,Depth:30 cm FieldSize:20x20 cm2,Depth:30 cm FieldSize:40x20 cm2
-7.1,,5.15,139.52,137.575,1.2,6.576645000000001,136.15,134.454,1.7,9.7,131.3,129.475,2.7,15.76666666666667,123.64999999999999,122.075,3.9,23.5,118.7,117.32000000000001
-7,1.1,5.266666666666668,138.74,137.04,1.2,6.70168,135.5,133.9938,1.7,10.024999999999999,130.7,129.04999999999998,2.7,16.26666666666667,123.5,121.74,4.1,26.1,118.425,116.97142857142858
-6.9,1.1,5.4,138.2,136.3,1.2,7.00175,134.78,133.19299999999998,1.7,10.25,130.15,128.5,2.8,17,123.175,121.5,4.1,29.066666666666688,118.22,116.81666666666666
-6.8,1.1,5.533333333333331,137.33333333333334,135.54,1.2,7.30183,134.2,132.653,1.7,10.666666666666664,129.72,128.04,2.8,17.9,122.685,121.26,4.1,34.3,118.03333333333333,116.6
-6.7,1.1,5.7,136.7,134.85,1.3,7.6019,133.78,132.00300000000001,1.8,11.166666666666664,129.25,127.66,2.9,19.049999999999994,122.399,120.98,4.2,41.56666666666663,117.80000000000001,116.38333333333334
-6.6,1.1,5.9,136.2,134.24,1.3,7.868636666666668,132.88333333333335,131.603,1.8,11.566666666666663,128.7,127.30000000000001,2.9,20.650000000000006,122.124,120.68333333333334,4.2,50.1,117.52,116.13333333333333
-6.5,1.1,6.1,135.24,133.64999999999998,1.3,8.10203,132.54,130.952,1.8,12.2,128.275,126.86666666666667,3,23.13333333333332,121.824,120.35,4.3,60.95,117.24,115.94
-6.4,1.1,6.249999999999998,134.57999999999998,132.92000000000002,1.3,8.50213,131.76,130.452,1.9,12.8,127.72,126.4,3,26.8,121.524,120,4.349999999999998,70.14999999999996,116.85,115.69999999999999
-6.3,1.1,6.5,133.775,132.23333333333332,1.4,8.96891,131.2,129.852,1.9,13.700000000000001,127.2,125.8,3.1,32.4,121.124,119.77142857142857,4.5,80.07500000000002,116.72500000000001,115.475
-6.2,1.1,6.8,133.14,131.66,1.4,9.552392500000002,130.48,129.252,2,14.866666666666667,126.6,125.3,3.2,40.95000000000002,120.75733333333334,119.44,4.5,88.83333333333333,116.48,115.26666666666667
-6.1,1.1,7.1,132.5,130.98,1.4,10.202566666666666,129.92000000000002,128.7114,2,16.424999999999997,126.22,124.92,3.3,50.9,120.524,119.1,4.6,95.625,116.3,115.11428571428571
-6,1.2,7.6,131.6,130.29999999999998,1.4,11.1028,129.375,128.07957142857143,2,18.85,125.86,124.4,3.4,61.16666666666667,120.164,118.74000000000001,4.7,100,116.08,114.9
-5.9,1.2,8.15,131.1,129.60000000000002,1.5,12.553150000000002,128.8,127.53671428571428,2.1,23,125.26666666666667,123.95,3.5,72.3,119.804,118.36666666666666,4.8,102.77999999999999,115.8,114.68
-5.8,1.2,9.033333333333333,130.45,128.975,1.5,14.7037,128.14999999999998,127.051,2.1,29.566666666666666,124.86666666666666,123.36,3.5,83.2,119.474,118.16666666666667,4.9,104.5,115.46000000000001,114.5
-5.7,1.2,10.4,129.85,128.4,1.5,17.73776666666667,127.57499999999999,126.47575,2.2,38.7,124.3,123.06666666666666,3.6,91.73333333333333,119.124,117.95,5,105.6,115.25,114.26
-5.6,1.2,12.5,129.06,127.7,1.5,23.339166666666667,126.9,125.78999999999999,2.2,50.37500000000002,123.64,122.64,3.8,98.7,118.724,117.4,5.2,106.73333333333333,114.92500000000001,114.03999999999999
-5.5,1.3,16.333333333333336,128.4,127.2,1.6,31.907999999999998,126.44,125.175,2.3,62.2,123.36666666666666,122.2,3.9,103.3,118.384,117.16,5.3,107.05,114.7,113.8
-5.4,1.3,23.3,127.8,126.53333333333333,1.6,44.6112,125.67999999999999,124.50999999999999,2.3499999999999996,75.50000000000003,122.82000000000001,121.625,4,105.8,118.074,116.77499999999999,5.4,107.4,114.42,113.58
