Percentage Depth Doses,,,,,
Wedge 30,,,,,
SSD=120cm,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,,
Depth [cm],4x4cm2,10x10cm2,20x20cm2,30x30cm2,40x30cm2
27.3,25.4,29.85,33.6,35.3,35.6
27.4,25.275,29.724999999999998,33.4,35.14,35.5
27.5,25.1,29.6,33.3,34.925000000000004,35.34285714285714
27.6,25,29.474999999999994,33.150000000000006,34.737500000000004,35.22500000000001
27.7,24.9,29.2625,32.9,34.7,35
27.8,24.8,29.137500000000003,32.8,34.43333333333334,34.825
27.9,24.7,28.925000000000004,32.6,34.3,34.675
28,24.487499999999997,28.779999999999998,32.4,34.18888888888889,34.525000000000006
28.1,24.366666666666667,28.6,32.3,34.050000000000004,34.4
28.2,24.25,28.474999999999994,32.2,33.9,34.22500000000001
28.3,24.125,28.325000000000003,32,33.8,34.1
28.4,24,28.25,31.9,33.55,34
28.5,23.8,28.1,31.76,33.425,33.76666666666666
28.6,23.7,27.95,31.525000000000006,33.3,33.6
28.7,23.6,27.8,31.4,33.175,33.5
28.8,23.5,27.7,31.325000000000003,33.025000000000006,33.3
28.9,23.425000000000004,27.55,31.1,32.87499999999999,33.150000000000006
29,23.3,27.4,31,32.7,33.05
29.1,23.1,27.35,30.8,32.6,32.9
29.2,23,27.1,30.7,32.5,32.75
29.3,22.9,27,30.6,32.349999999999994,32.7
29.4,22.8,26.8,30.5,32.150000000000006,32.45
29.5,22.65,26.75,30.360000000000003,31.95,32.3
29.6,22.5,26.6,30.1,31.9,32.2
29.7,22.379999999999995,26.45,30,31.779999999999998,32.025000000000006
29.8,22.214285714285715,26.312500000000004,29.9,31.625,31.9
29.9,22.1,26.18333333333333,29.775,31.5,31.85
30,22.025000000000006,26.074999999999996,29.6,31.325000000000003,31.625000000000004
