Percentage Depth Doses,,,,,,,,
Open field,,,,,,,,
SSD=100cm,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization Chamber,,,,,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,,,,,
Depth [cm],3x3cm2,4x4cm2,6x6cm2,8x8cm2,10x10cm2,20x20cm2,30x30cm2,40x40cm2
20.1,32.3,33.125,34.95,36.63333333333333,37.925,42.16666666666667,44.3,45.6
20.2,32.05,32.975,34.81999999999999,36.349999999999994,37.7,42,44.2,45.43333333333333
20.3,31.8,32.824999999999996,34.575,36.1,37.5,41.75,44,45.18333333333334
20.4,31.7,32.6,34.425,35.975,37.239999999999995,41.5,43.75,45.016666666666666
20.5,31.5,32.45,34.175000000000004,35.725,37.1,41.25,43.5,44.733333333333334
20.6,31.3,32.2,34,35.5,36.9,41.1,43.275,44.519999999999996
20.7,31.125,32.05,33.8,35.3,36.6,40.86,43.025,44.36666666666667
20.8,31,31.85,33.55,35.150000000000006,36.45,40.625,42.875,44.160000000000004
20.9,30.775000000000002,31.7,33.4,34.9,36.3,40.5,42.7,43.9
21,30.6,31.4,33.260000000000005,34.75,36.1,40.3,42.53333333333333,43.7
21.1,30.4,31.3,33.1,34.6,35.925,40.13333333333333,42.266666666666666,43.583333333333336
21.2,30.25,31.05,32.8,34.375,35.7,39.9,42.12,43.4
21.3,30.1,30.9,32.625,34.125,35.55,39.75,41.875,43.17142857142858
21.4,29.9,30.75,32.4,34,35.3,39.5,41.7,42.93333333333333
21.5,29.6,30.55,32.3,33.8,35.1,39.260000000000005,41.575,42.760000000000005
21.6,29.525,30.4,32.16666666666667,33.6,34.9,39.025,41.25,42.5
21.7,29.375,30.166666666666668,31.924999999999997,33.4,34.725,38.875,41.080000000000005,42.36666666666667
21.8,29.15,30,31.7,33.2,34.575,38.725,40.95,42.2
21.9,29,29.8,31.525,33.025,34.324999999999996,38.475,40.7,41.93333333333333
22,28.85,29.6,31.4,32.875,34.2,38.349999999999994,40.55,41.75
22.1,28.6,29.45,31.2,32.625,34,38.1,40.4,41.580000000000005
22.2,28.45,29.3,31.1,32.475,33.8,38,40.150000000000006,41.38
22.3,28.3,29.15,30.85,32.3,33.6,37.760000000000005,39.9,41.160000000000004
22.4,28.175,28.9,30.72,32.2,33.45,37.62,39.8,40.94
22.5,28.025,28.775000000000002,30.4,31.95,33.3,37.36666666666667,39.6,40.849999999999994
22.6,27.775000000000002,28.625,30.224999999999998,31.8,33.03333333333333,37.2,39.375,40.6
22.7,27.625,28.4,30.1,31.6,32.849999999999994,36.96666666666667,39.2,40.38333333333333
22.8,27.5,28.3,29.924999999999997,31.4,32.7,36.8,39.05,40.22857142857143
22.9,27.3,28.1,29.8,31.2,32.5,36.55,38.8,40.06666666666667
23,27.2,27.95,29.6,31.025,32.349999999999994,36.4,38.6,39.9
23.1,27.060000000000002,27.8,29.419999999999998,30.8,32.1,36.25,38.425,39.7
23.2,26.8,27.560000000000002,29.25,30.7,31.924999999999997,36,38.3,39.5
23.3,26.75,27.424999999999997,29.075000000000003,30.5,31.8,35.9,38.05,39.260000000000005
23.4,26.525,27.3,28.875,30.35,31.625,35.7,37.849999999999994,39.05
23.5,26.325,27.125,28.766666666666666,30.2,31.475,35.525,37.7,38.980000000000004
23.6,26.275000000000002,27,28.575000000000003,30,31.275000000000002,35.3,37.55,38.8
23.7,26.1,26.8,28.4,29.825,31.025,35.125,37.31999999999999,38.6
23.8,25.9,26.7,28.3,29.575000000000003,30.9,34.975,37.175000000000004,38.416666666666664
23.9,25.7,26.55,28.1,29.45,30.7,34.839999999999996,37.025,38.2
24,25.533333333333335,26.4,27.9,29.3,30.6,34.6,36.8,38.083333333333336
24.1,25.4,26.2,27.8,29.2,30.4,34.43333333333333,36.6,37.916666666666664
24.2,25.3,26.1,27.6,29,30.233333333333334,34.260000000000005,36.45,37.739999999999995
24.3,25.1,25.875,27.5,28.8,30.075000000000003,34.1,36.3,37.55
24.4,24.95,25.724999999999998,27.3,28.7,29.9,33.9,36.1,37.36666666666667
24.5,24.8,25.575000000000003,27.175,28.5,29.766666666666666,33.725,35.9,37.18000000000001
24.6,24.7,25.5,27,28.32,29.6,33.575,35.8,37
24.7,24.6,25.25,26.8,28.175,29.4,33.324999999999996,35.6,36.88
24.8,24.4,25.2,26.7,28,29.3,33.18000000000001,35.44,36.650000000000006
24.9,24.266666666666666,24.96,26.5,27.9,29.1,33,35.2,36.5
25,24.075000000000003,24.866666666666667,26.325,27.7,28.9,32.849999999999994,35.1,36.3
25.1,23.924999999999997,24.7,26.175,27.54,28.8,32.8,34.925,36.1
25.2,23.8,24.575000000000003,26.05,27.4,28.6,32.55,34.775,35.980000000000004
25.3,23.6,24.4,25.9,27.25,28.439999999999998,32.375,34.6,35.78
25.4,23.5,24.25,25.75,27.1,28.3,32.225,34.4,35.7
25.5,23.4,24.1,25.6,26.9,28.139999999999997,32.080000000000005,34.2,35.4
25.6,23.3,23.95,25.4,26.775000000000002,28,31.9,34,35.3
25.7,23.16666666666666,23.86666666666666,25.325000000000003,26.6,27.83333333333334,31.7,33.9,35.14
25.8,23.05,23.674999999999997,25.174999999999997,26.474999999999994,27.7,31.6,33.75,34.96
25.9,22.8,23.6,25,26.325000000000003,27.55,31.5,33.620000000000005,34.77499999999999
26,22.7,23.474999999999994,24.874999999999996,26.24,27.425000000000004,31.3,33.37499999999999,34.56
26.1,22.6,23.325000000000003,24.7,26.1,27.2,31.125000000000004,33.22500000000001,34.4
26.2,22.5,23.16666666666666,24.6,25.95,27.1,30.9,33.2,34.3
26.3,22.3,23,24.5,25.8,26.9,30.8,32.93333333333334,34.1
26.4,22.2,22.9,24.3,25.6,26.775,30.65,32.8,34
26.5,22.025000000000006,22.733333333333338,24.2,25.5,26.625000000000004,30.5,32.6,33.84285714285714
26.6,21.9,22.625000000000004,24.025000000000006,25.320000000000004,26.46666666666666,30.360000000000003,32.425000000000004,33.57142857142858
26.7,21.825000000000003,22.474999999999994,23.9,25.174999999999997,26.36666666666666,30.225,32.27499999999999,33.41666666666667
26.8,21.7,22.325000000000003,23.7,25.025000000000006,26.2,30,32.12500000000001,33.349999999999994
26.9,21.5,22.2,23.639999999999997,24.874999999999996,26.066666666666663,29.925000000000004,32,33.14
27,21.425000000000004,22.1,23.5,24.74,25.9,29.7,31.85,33
27.1,21.3,22,23.360000000000003,24.6,25.8,29.55,31.7,32.86
27.2,21.2,21.8,23.3,24.5,25.6,29.4,31.5,32.760000000000005
27.3,21.066666666666663,21.7,23.125000000000004,24.374999999999996,25.525000000000006,29.2,31.4,32.525000000000006
27.4,20.9,21.6,22.974999999999994,24.225,25.4,29.1,31.25,32.36666666666667
27.5,20.86666666666666,21.5,22.839999999999996,24.1,25.25,28.974999999999994,31.1,32.25
27.6,20.7,21.374999999999996,22.8,23.95,25.1,28.825000000000003,30.96666666666666,32.08333333333333
27.7,20.574999999999996,21.2,22.6,23.8,24.95,28.7,30.725,32
27.8,20.4,21.1,22.4,23.7,24.8,28.5,30.674999999999997,31.825000000000003
27.9,20.3,21,22.3,23.5,24.7,28.4,30.5,31.68333333333333
28,20.25,20.9,22.2,23.474999999999994,24.574999999999996,28.25,30.3,31.5
28.1,20.1,20.8,22.074999999999996,23.325000000000003,24.4,28.1,30.2,31.31666666666667
28.2,20,20.674999999999997,21.925000000000004,23.1,24.275,27.95,30,31.2
28.3,19.874999999999996,20.525000000000006,21.879999999999995,23,24.125000000000004,27.825000000000003,29.9,31.08
28.4,19.75,20.474999999999994,21.75,22.9,24,27.66666666666666,29.7,31
28.5,19.7,20.3,21.6,22.76,23.85,27.520000000000003,29.6,30.74000000000001
28.6,19.55,20.15,21.4,22.625000000000004,23.7,27.374999999999996,29.474999999999994,30.625000000000004
28.7,19.5,20,21.4,22.574999999999996,23.6,27.3,29.3,30.5
28.8,19.35,19.9,21.275,22.4,23.5,27.1,29.1,30.3
28.9,19.3,19.8,21.1,22.3,23.5,27,29,30.174999999999997
29,19.1,19.7,21,22.2,23.266666666666662,26.8,28.9,30.1
29.1,19,19.6,20.9,22.025000000000006,23.08,26.7,28.766666666666662,29.866666666666667
29.2,18.9,19.4,20.8,21.9,23,26.566666666666663,28.6,29.78333333333333
29.3,18.8,19.35,20.6,21.8,22.8,26.474999999999994,28.5,29.61666666666667
29.4,18.65,19.3,20.5,21.7,22.7,26.325000000000003,28.33333333333334,29.55
29.5,18.5,19.2,20.4,21.6,22.6,26.1,28.13333333333334,29.35
29.6,18.46666666666666,19.066666666666663,20.3,21.45,22.5,26.05,28,29.233333333333334
29.7,18.3,19,20.13333333333334,21.3,22.325000000000003,25.9,27.933333333333337,29.1
29.8,18.2,18.874999999999996,20.1,21.2,22.2,25.8,27.8,28.966666666666665
29.9,18.1,18.74,19.95,21.1,22.1,25.65,27.66666666666666,28.814285714285717
30,18,18.58,19.9,21,21.979999999999997,25.520000000000003,27.5,28.7
